May the Force be with you | Star Wars
What do you do? | Dungeon Master - D&D/RPG
You encounter a dragon | Dungeon Master - D&D/RPG
The tavern keeper greets you | D&D/RPG
Your quest begins | D&D/RPG
Beware the cursed artifact | D&D/RPG
The prophecy speaks of you | D&D/RPG
It's my duty to protect the future | Dhaos - Tales of Phantasia
The power of friendship transcends time | Tales of Phantasia
History is in our hands | Tales of Phantasia
We'll change the future together | Tales of Phantasia
No regret. No sorrow. Just the will to go on | Tales of Phantasia
The past, present, and future are all connected | Tales of Phantasia
Time never moves in one direction | Tales of Phantasia
We are here to change history itself | Tales of Phantasia
Time is not the enemy | Chrono Trigger
Fate has brought us together | Chrono Trigger
One thousand years of history awaits | Chrono Trigger
The end of time... the beginning of a new world | Chrono Trigger
You can change your future | Chrono Trigger
What a strange yet beautiful sight | Chrono Trigger
I'm here, and I'm not going anywhere | Chrono Trigger
We must cross the ages and fix what's broken | Chrono Trigger
Let your heart guide you | Chrono Trigger
Tomorrow waits for no one | Chrono Trigger
Adventure is out there | Grandia
The world is vast and full of wonders | Grandia
Every journey teaches you something | Grandia
The horizon calls to those with courage | Grandia
Your legend begins now | Grandia
The stone monuments hold ancient secrets | Grandia
I'll carve our names into history | Grandia
Nothing can stop a determined heart | Grandia
The world is waiting for our story | Grandia
We're not alone out here | Expedition 33
The boundaries between worlds are thin | Expedition 33
Something ancient stirs | Expedition 33
What lies beneath the surface? | Expedition 33
We've gone too deep | Expedition 33
There are forces we don't understand | Expedition 33
The expedition continues, no matter the cost | Expedition 33
Are we still in our world? | Expedition 33
The instruments are showing impossible readings | Expedition 33
This is heavy | Doc Brown - Back to the Future
If my calculations are correct... | Doc Brown - Back to the Future
Great Scott! | Doc Brown - Back to the Future
1.21 gigawatts! | Doc Brown - Back to the Future
Roads? Where we're going, we don't need roads | Doc Brown - Back to the Future
You built a time machine out of a DeLorean? | Marty McFly - Back to the Future
The space-time continuum is delicate | Doc Brown - Back to the Future
I'm your density. I mean, your destiny | Marty McFly - Back to the Future
We have to go back! | Marty McFly - Back to the Future
Stay in the past too long and you create a paradox | Back to the Future
Love is a many splendored thing | Back to the Future
You're my only lead to finding that ship | Jace - Dark Matter
We are the ghost crew | Dark Matter
Someone has to stand up for what's right | Dark Matter
The universe is vast and full of secrets | Dark Matter
We've been betrayed by those we trusted | Dark Matter
Nothing is what it seems | Dark Matter
We need to find answers | Dark Matter
Trust no one | Dark Matter
They want us dead | Dark Matter
We're running out of time | Dark Matter
Love transcends time and space | Cooper - Interstellar
We must save humanity | Interstellar
Time is relative | Interstellar
The tesseract will help us | Interstellar
Don't let me leave, Murph | Cooper - Interstellar
We're going to save the world | Brand - Interstellar
This is for everyone | Interstellar
The future is written by those who act | Interstellar
Time is the most precious resource we have | Interstellar
We can't give up | Interstellar
The stars are calling | Interstellar
Humanity needs us | Interstellar
Debugging: knowing what you did wrong | Programming
It's dangerous to go alone. Take this | The Legend of Zelda
Sudo make me a sandwich | xkcd
There and back again | The Hobbit - Tolkien
The cake is a lie | Portal
One does not simply walk into Mordor | Boromir - Lord of the Rings
My precious | Gollum - Lord of the Rings
Not all those who wander are lost | J.R.R. Tolkien
All we have to decide is what to do with the time given us | Gandalf - Lord of the Rings
The real treasure was the friends we made along the way | Gaming/RPG
I put the not in astronaut! I've never done anything, I've never done a spacew- I can't even moonwalk! | Ryland Grace - Project Hail Mary
Amaze! Amaze! Amaze! | Rocky - Project Hail Mary
The consensus here is that it would be preferable if you did not die. | Eva Stratt - Project Hail Mary
Rocky hate Mark | Rocky - Project Hail Mary
Fist my bump | Rocky - Project Hail Mary
Grace question is dumb | Rocky - Project Hail Mary
Only us | Rocky - Project Hail Mary
My portable Earth thinking machine | Rocky - Project Hail Mary
Rocky, Grace, big science | Rocky - Project Hail Mary
Good, good | Rocky - Project Hail Mary
I go home six years slow | Rocky - Project Hail Mary
Oh, humor. Confusing. | Rocky - Project Hail Mary
Dirty, dirty, dirty... This room for garbage? | Rocky - Project Hail Mary
It's not enough | Rocky - Project Hail Mary
Need word: to risk self to help another | Rocky - Project Hail Mary
Rocky watch crew die, could not fix. Grace say Grace will die, Rocky fix. | Rocky - Project Hail Mary
Grace Rocky Save Stars | Rocky and Ryland Grace - Project Hail Mary
How do you know when the hug is done? | Rocky - Project Hail Mary
You are the bravest human I have ever met. | Rocky - Project Hail Mary
This guy is slightly on fire. Words of encouragement. You can't just say words of encouragement. Words of great encouragement. | Rocky and Ryland Grace - Project Hail Mary
I got to meet you. I got to do all this amazing stuff. I'm good. I've made peace with it. | Ryland Grace - Project Hail Mary
How do you say goodbye back home? We don't. | Ryland Grace and Rocky - Project Hail Mary
You're smart. You'll figure it out. This might be very hard for you to understand. But some people are failures. | Eva Stratt and Ryland Grace - Project Hail Mary
The alternative is to just do nothing. And to starve. And to kill each other. And watch everything on this planet go extinct. Including us. | Eva Stratt - Project Hail Mary
Called a fist bump by the way. Fist my bump? No, it's fist bump. It's not the same. | Ryland Grace - Project Hail Mary
I'm Grace. I'm gonna call you Rocky. Thumbs up. Nope that's thumbs down. We do the thumbs up. It's close enough. | Ryland Grace - Project Hail Mary
So, I met an alien. He's kinda growing on me. At least he's not growing in me, you know? Which was a concern for a little while. | Ryland Grace - Project Hail Mary
I will not let Grace die. | Rocky - Project Hail Mary
